Product_ID,Product_Name,Product_Barcode,Product_Sku,Product_Attribute_color,Product_Attribute_size,Product_Descriptions,Product_Categorise,Product_Price,Product_Sale_price,Product_Image
34212719853700,OLAPLEX No.3 Hair Perfector - 100ml,896364002749,OLAPLEX3-100,100ml,,"The product that made OLAPLEX famous! Our global best-seller is an at-home treatment, not a conditioner, that reduces breakage and visibly strengthens hair, improving its look and feel. It will restore your hair's healthy appearance and texture by repairing damage and protecting hair structure.PH Balance: 3.5-5 Where: Dampen hair and apply from roots to ends. When: Use once a week or two to three times a week for damaged hair. For: All hair types, especially for those with visible damage.","['HAIR CARE', 'HAIR STYLING & TREATMENTS', 'Professional Hair Care', 'Selling fast']",No.ne,41.00,moustaphalabban.com/cdn/shop/products/Large_JPG-No.3HairPerfector-2_1440x_9d6b106e-4872-4f4b-80a6-4b3f2d3a45dd.jpg?v=1617494997
41459510640772,OLAPLEX No.3 Hair Perfector - 250ml,896364002664,OLAPLEX3-250,250ml,,"The product that made OLAPLEX famous! Our global best-seller is an at-home treatment, not a conditioner, that reduces breakage and visibly strengthens hair, improving its look and feel. It will restore your hair's healthy appearance and texture by repairing damage and protecting hair structure.PH Balance: 3.5-5 Where: Dampen hair and apply from roots to ends. When: Use once a week or two to three times a week for damaged hair. For: All hair types, especially for those with visible damage.","['HAIR CARE', 'HAIR STYLING & TREATMENTS', 'Professional Hair Care', 'Selling fast']",No.ne,41.00,moustaphalabban.com/cdn/shop/products/Large_JPG-No.3HairPerfector-2_1440x_9d6b106e-4872-4f4b-80a6-4b3f2d3a45dd.jpg?v=1617494997
34212719952004,OLAPLEX No.6 Bond Smoother - 100 ml,896364002770,OLAPLEX6,100 ml,,"A highly concentrated leave-in smoothing cream.


N°6 strengthens, moisturizes, and speeds up blow-dry times. Excellent for all hair types, including colored and chemically treated hair, and eliminates frizz and flyway's for up to 72 hours. Please see below for Nº.6, 6 ways!
 PH Balance: 4.0-5.0


Where: Apply product from mid-lengths to the ends.


When: Use after each wash, or as needed for styling.


For: All hair types. Blow dry or air-dry styling


 ","['HAIR CARE', 'HAIR STYLING & TREATMENTS', 'Professional Hair Care']",No.ne,41.00,moustaphalabban.com/cdn/shop/products/No6-Pump-100ml-English-front-with-lid-shadow-2000x2000_1440x_44c51c7d-0e38-437c-8365-01f35cc4fb52.webp?v=1679607816
34212719886468,OLAPLEX No.4 Bond Maintenance Shampoo - 250 ml,896364002756,OLAPLEX4,250 ml,,"A highly-nourishing and reparative shampoo.


N°4 Shampoo repairs and protects hair from everyday stresses — including damaged hair, split ends, and frizz — by re-linking broken bonds. Leaves hair easier to manage, shinier and healthier with each use. N°4 is color-safe and proven to reduce breakage and strengthen all types of hair.
PH Balance: 6-6.5


Where:Concentrate on roots.


When:Formulated for daily or every wash use.


For:All hair types, especially those needing clarifying or oil control.","['HAIR CARE', 'HAIR STYLING & TREATMENTS', 'Professional Hair Care', 'Selling fast']",No.ne,41.00,moustaphalabban.com/cdn/shop/products/Large_JPG-No.4BondMaintenanceShampoo-2_1440x_f4087b0f-72cb-4dce-8c81-567246dc80e1.jpg?v=1617495203
33733861146756,Herome Nail Hardener Extra Strong 10ml - 10ml,8711661054722,E20049,10ml,,"The undisputed number-one of all nail hardeners! This unique Hermes Nail Hardener Extra Strong guarantees strong nails within 14 days. After just 8 days, the first results are noticeable!


By using the hardener, nails become iron-strong in no time at all. Follow the course up to 4 times a year. Beautifully long nails are possible for everyone!


Hard and long nails are guaranteed for 14 days
 Designed for weak and splitting nails
 Can also be used as a protective base coat
 Gives a beautiful shine
 This product is TFS resin and Toluene free","['Nail Hardener', 'Nail Treatments', 'Selling fast']",No.ne,17.50,moustaphalabban.com/cdn/shop/products/herom.jpg?v=1587986508
34212719984772,OLAPLEX No.7 Bonding Oil - 30 ml,896364002695,OLAPLEX7,30 ml,,"A highly-concentrated, weightless reparative styling oil.


Dramatically increases shine, softness, and color vibrancy.
N°7 minimizes flyaways and frizz, while providing UV/heat protection of up to 450°F/232°C.


How:Just a few drops restores hair appearance and texture.


When:Can be used daily on wet and dry hair, or before styling with heat.


For:All hair types, especially for those using heat tools daily.","['HAIR CARE', 'HAIR STYLING & TREATMENTS', 'Professional Hair Care']",No.ne,41.00,moustaphalabban.com/cdn/shop/products/Large_JPG-No.7BondingOil-2_1440x_22e00bfa-1f2f-4466-b20b-a7bbef43a5b5.jpg?v=1617496554
41908712734852,OLAPLEX No.7 Bonding Oil - 60Ml,850045076832,No760,60Ml,,"A highly-concentrated, weightless reparative styling oil.


Dramatically increases shine, softness, and color vibrancy.
N°7 minimizes flyaways and frizz, while providing UV/heat protection of up to 450°F/232°C.


How:Just a few drops restores hair appearance and texture.


When:Can be used daily on wet and dry hair, or before styling with heat.


For:All hair types, especially for those using heat tools daily.","['HAIR CARE', 'HAIR STYLING & TREATMENTS', 'Professional Hair Care']",No.ne,41.00,moustaphalabban.com/cdn/shop/files/2000_PNG-N7_60ML_PDP_IN_3000x3000_1_1440x_1207d147-e3da-49cc-9cb4-973c52141302.webp?v=1725154413
34212719919236,OLAPLEX No.5 Bond Maintenance Conditioner - 250 ml,896364002763,OLAPLEX5,250 ml,,"A highly-moisturizing, reparative conditioner for all hair types.


Leaves hair easier to manage, shinier and healthier with each use. Protects and repairs damaged hair, split ends, and frizz by re-linking broken bonds. It is color-safe and will strengthen and leave your hair stronger than ever.
 PH Balance: 4.0-5.0


Where: Focus on ends and distribute evenly.


When: Formulated for daily/ every wash use.


For: All hair types
.","['HAIR CARE', 'HAIR STYLING & TREATMENTS', 'Professional Hair Care']",No.ne,41.00,moustaphalabban.com/cdn/shop/products/No.5BondMaintenanceConditioner_1440x_cf00fb19-493c-4031-b38d-0685fa29d2bc.jpg?v=1617495377
34444353044612,OLAPLEX No.0 Intensive Bond Building Treatment - 155Ml,896364002923,OLAPLEX0,155Ml,,"Primes hair to absorb nourishment for maximum repair


A professional-inspired treatment that primes hair for deeper repair with the highest dose of patented OLAPLEX technology in any take-home product. It rebuilds hair bonds, strengthens and protects hair integrity. Use as the first step in a two-part system with N°.3 Hair Perfector.


Scientifically Proven:
68% more repair & 3x stronger hair*
*When used as a two-part system in just one use.
APPLICATION TIP: N°.0 bottle should last 3-6 applications, based on hair length and density.




When:Use the two-part system with N°.3 once a week or two to three times a week for damaged hair.


Where:Apply to dry hair, fully saturating each section.


For:All hair types, especially for those with visible damage.","['HAIR CARE', 'HAIR STYLING & TREATMENTS', 'Professional Hair Care']",No.ne,41.00,moustaphalabban.com/cdn/shop/products/s2497519-main-zoom.webp?v=1680687644
33811160465540,Rasasi Hawas Men - 100ml,614514331026,19251,100ml,,"ABOUT HAWAS: Blends cinnamon, bergamot, orange blossom, grey amber & sandalwood to create an aquatic scent designed to embody masculine strength and vigor. The fragrance captures the adventurous & evocative spirit of the modern man.","['Eau De Parfume Men', 'Selling fast']",61.05,48.84,moustaphalabban.com/cdn/shop/files/download.jpg?v=1721484010
